Theta 0.000000| s'x 12.000000 | s'y -5.500000 | t'xy 3.500000 
Theta 0.100000| s'x 12.012164 | s'y -5.512164 | t'xy 3.530522 
Theta 0.200000| s'x 12.024221 | s'y -5.524221 | t'xy 3.561001 
Theta 0.300000| s'x 12.036172 | s'y -5.536171 | t'xy 3.591436 
Theta 0.400000| s'x 12.048015 | s'y -5.548015 | t'xy 3.621828 
Theta 0.500000| s'x 12.059751 | s'y -5.559751 | t'xy 3.652175 
Theta 0.600000| s'x 12.071380 | s'y -5.571380 | t'xy 3.682479 
Theta 0.700000| s'x 12.082901 | s'y -5.582901 | t'xy 3.712737 
Theta 0.800000| s'x 12.094315 | s'y -5.594314 | t'xy 3.742950 
Theta 0.900000| s'x 12.105620 | s'y -5.605620 | t'xy 3.773117 
Theta 1.000000| s'x 12.116818 | s'y -5.616818 | t'xy 3.803238 
Theta 1.100000| s'x 12.127908 | s'y -5.627908 | t'xy 3.833313 
Theta 1.200000| s'x 12.138889 | s'y -5.638890 | t'xy 3.863342 
Theta 1.300000| s'x 12.149763 | s'y -5.649763 | t'xy 3.893323 
Theta 1.400000| s'x 12.160528 | s'y -5.660528 | t'xy 3.923257 
Theta 1.500000| s'x 12.171185 | s'y -5.671184 | t'xy 3.953143 
Theta 1.600000| s'x 12.181732 | s'y -5.681732 | t'xy 3.982981 
Theta 1.700000| s'x 12.192171 | s'y -5.692171 | t'xy 4.012770 
Theta 1.800000| s'x 12.202500 | s'y -5.702501 | t'xy 4.042511 
Theta 1.900000| s'x 12.212722 | s'y -5.712721 | t'xy 4.072202 
Theta 2.000000| s'x 12.222833 | s'y -5.722833 | t'xy 4.101843 
Theta 2.100000| s'x 12.232836 | s'y -5.732835 | t'xy 4.131435 
Theta 2.200000| s'x 12.242728 | s'y -5.742728 | t'xy 4.160976 
Theta 2.300000| s'x 12.252511 | s'y -5.752512 | t'xy 4.190467 
Theta 2.400000| s'x 12.262185 | s'y -5.762185 | t'xy 4.219906 
Theta 2.500000| s'x 12.271749 | s'y -5.771749 | t'xy 4.249294 
